ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"192.168.0.5","192.168.0.11","125","1","0","128","6","65446","90","138","85","4","0","0","1","1","0","0","0","138.371883000","0.027333000","0.031213000","0.027333000"
"192.168.0.11","192.168.0.5","179","1","0","128","6","64018","223","90","139","4","0","0","1","1","0","0","0","138.373016000","0.001133000","0.032346000","0.001133000"
"192.168.0.5","192.168.0.11","40","1","0","128","6","65307","229","223","0","4","0","0","1","0","0","0","0","138.559351000","0.186335000","0.218681000","0.186335000"
"192.168.0.5","192.168.0.11","48","1","0","128","6","65535","0","0","0","5","0","0","0","0","0","1","0","138.997005000","0.437654000","0.000000000","0.000000000"
"192.168.0.11","192.168.0.5","48","1","0","128","6","64240","1","0","0","5","0","0","1","0","0","1","0","138.997931000","0.000926000","0.000926000","0.000926000"
"192.168.0.5","192.168.0.11","40","1","0","128","6","65535","1","1","0","5","0","0","1","0","0","0","0","138.998220000","0.000289000","0.001215000","0.000289000"
"192.168.0.5","192.168.0.11","48","1","0","128","6","65535","0","0","0","6","0","0","0","0","0","1","0","138.998325000","0.000105000","0.000000000","0.000000000"
"192.168.0.11","192.168.0.5","48","1","0","128","6","64240","1","0","0","6","0","0","1","0","0","1","0","138.998916000","0.000591000","0.000591000","0.000591000"
"192.168.0.5","192.168.0.11","40","1","0","128","6","65535","1","1","0","6","0","0","1","0","0","0","0","138.999089000","0.000173000","0.000764000","0.000173000"
"192.168.0.5","192.168.0.11","172","1","0","128","6","65535","1","1","132","5","0","0","1","1","0","0","0","138.999338000","0.000249000","0.002333000","0.001118000"
"192.168.0.5","192.168.0.11","48","1","0","128","6","65535","0","0","0","7","0","0","0","0","0","1","0","139.009361000","0.010023000","0.000000000","0.000000000"
"192.168.0.11","192.168.0.5","48","1","0","128","6","64240","1","0","0","7","0","0","1","0","0","1","0","139.010207000","0.000846000","0.000846000","0.000846000"
"192.168.0.5","192.168.0.11","40","1","0","128","6","65535","1","1","0","7","0","0","1","0","0","0","0","139.010494000","0.000287000","0.001133000","0.000287000"
"192.168.0.5","192.168.0.11","172","1","0","128","6","65535","1","1","132","6","0","0","1","1","0","0","0","139.010515000","0.000021000","0.012190000","0.011426000"
"192.168.0.5","192.168.0.11","172","1","0","128","6","65535","1","1","132","7","0","0","1","1","0","0","0","139.010737000","0.000222000","0.001376000","0.000243000"
"192.168.0.5","192.168.0.11","48","1","0","128","6","65535","0","0","0","8","0","0","0","0","0","1","0","139.026595000","0.015858000","0.000000000","0.000000000"
"192.168.0.11","192.168.0.5","48","1","0","128","6","64240","1","0","0","8","0","0","1","0","0","1","0","139.027514000","0.000919000","0.000919000","0.000919000"
"192.168.0.5","192.168.0.11","40","1","0","128","6","65535","1","1","0","8","0","0","1","0","0","0","0","139.027650000","0.000136000","0.001055000","0.000136000"
"192.168.0.5","192.168.0.11","172","1","0","128","6","65535","1","1","132","8","0","0","1","1","0","0","0","139.027892000","0.000242000","0.001297000","0.000242000"
"192.168.0.5","192.168.0.11","48","1","0","128","6","65535","0","0","0","9","0","0","0","0","0","1","0","139.048633000","0.020741000","0.000000000","0.000000000"
"192.168.0.11","192.168.0.5","48","1","0","128","6","64240","1","0","0","9","0","0","1","0","0","1","0","139.049459000","0.000826000","0.000826000","0.000826000"
